hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality,pick_rate_normalized,win_rate_normalized,ban_rate_normalized
86,Lylia,Mage,Mid Lane,0.34,47.03,0.06,"Push, Damage",0.12217194570135748,0.30657439446366785,0.0005720823798627002
58,Martis,Fighter,Jungle,0.4,45.14,0.49,"Finisher, Charge",0.14932126696832582,0.1757785467128028,0.008771929824561405
88,Masha,Fighter,Exp Lane,0.16,56.26,0.22,"Push, Damage",0.04072398190045249,0.9453287197231837,0.003623188405797102
102,Mathilda,Support,Roam,0.4,46.08,1.43,"Initiator, Guard",0.14932126696832582,0.24083044982698976,0.026697177726926008
114,Melissa,Marksman,Gold Lane,0.33,52.61,0.18,"Finisher, Damage",0.11764705882352941,0.692733564013841,0.0028604118993135015
19,Minotaur,Tank,Roam,0.98,53.25,3.9,Crowd Control,0.4117647058823529,0.7370242214532876,0.07379862700228833
74,Minsitthar,Fighter,Exp Lane,0.36,49.2,1.69,"Initiator, Crowd Control",0.13122171945701358,0.456747404844291,0.031655225019069415
1,Miya,Marksman,Gold Lane,0.53,49.34,0.28,"Finisher, Damage",0.2081447963800905,0.46643598615917004,0.004767353165522503
31,Moskov,Marksman,Gold Lane,0.7,50.82,0.08,"Finisher, Chase",0.2850678733031674,0.5688581314878896,0.0009534706331045005
5,Nana,Mage,Mid Lane,0.65,45.12,0.51,"Poke, Burst",0.26244343891402716,0.17439446366782008,0.009153318077803204
24,Natalia,Assassin,Jungle,0.21,50.54,0.83,"Chase, Finisher",0.06334841628959276,0.5494809688581315,0.015255530129672007
107,Natan,Marksman,Gold Lane,1.39,52.11,28.99,"Burst, Magic Damage",0.5972850678733032,0.6581314878892734,0.5522501906941266
122,Nolan,Assassin,Jungle,0.43,48.89,0.39,"Chase, Burst",0.16289592760180996,0.43529411764705905,0.006864988558352403
119,Novaria,Mage,Mid Lane,0.47,47.39,0.13,"Burst, Poke",0.18099547511312217,0.3314878892733568,0.0019069412662090011
